Name,Lifetime[5],Nationality,Notable as,Notes[6]
Ben Aldridge,b. 1985,English,Actor,G or B[92]
Sarah Aldridge,1911–2006,American,Author,L[93]
Sibilla Aleramo,1876–1960,Italian,Writer,L[94]
Alexander the Great,356–323 BC,Macedonian,King,B[95]
J. Alexander,b. 1958,American,"Runway coach, TV personality",G[96]
Olly Alexander,b. 1990,English,"Musician, singer, songwriter (Years & Years), actor",G[97]
Grand Duke Sergei Alexandrovich of Russia,1857–1905,Russian,Nobleman,G[98][99][100]
Nikolay Alexeyev,b. 1977,Russian,"LGBT rights activist, lawyer, journalist",G[101]
Luis Alfaro,b. 1963,American,"Performance artist, writer, theater director, social activist",G[102]
Róbert Alföldi,b. 1967,Hungarian,"Actor, director, TV personality",G[103]
Yashar Ali,b. 1979,American,Journalist,G[104]
Michael Alig,b. 1966,American,"Party promoter, murderer",G[105]
Bisi Alimi,b. 1975,Nigerian,"LGBT rights activist, HIV advocate",G[106]
"Napier Sturt, 3rd Baron Alington",1896–1940,English,Peer,B[107]
Sandra Alland,b. 1973,Canadian,"Writer, artist, activist",L[108]
Julian Phelps Allan,1892–1996,English,Sculptor,L[109]
Maud Allan,1873–1956,Canadian,Dancer,L[110]
Marc Allégret,1900–1973,French,Film director,B[111]
Bob Allen,b. 1958,American,Politician,B[112][113]
Chad Allen,b. 1974,American,"Actor, LGBT activist",G[114]
Lily Allen,b. 1985,English,"Singer-songwriter, TV presenter",B[115][116]
Paula Gunn Allen,b. 1939,Native American,Writer,L[117]
Peter Allen,1944–1992,Australian,Entertainer,G[118]
Ted Allen,b. 1965,American,"Chef, TV personality",G[119]
Christian Wilhelm Allers,1857–1915,German,Painter,G[120]
Henry Alley,b. 1944,American,"Author, academic",G[121]
"Waheed Alli, Baron Alli",b. 1964,British,"Businessman, first openly gay peer in Parliament",G[122]
Dorothy Allison,b. 1949,American,Writer,L[123]
Eric Allman,b. 1955,American,Computer programmer,G[124]
Alma,b. 1996,Finnish,Pop singer,L[125]
László Almásy,1895–1951,Hungarian,"Explorer, spy",G[126]
Néstor Almendros,1930–1992,Spanish,Cinematographer,G[127]
Pedro Almodóvar,b. 1949,Spanish,Filmmaker,G[128]
Marc Almond,b. 1957,English,Pop singer (Soft Cell),G[129]
Al-Mu'tamid ibn Abbad,1040–1095,Abbadid Dynasty,"Moorish king, poet",G[130]
Anne-Marie Alonzo,1951–2005,Canadian,Writer,L[131]
Rebecca Alpert,b. 1950,American,Professor of religious history,L[132]
Hilton Als,b. 1960,American,"Writer, theater critic",G[133]
Saud bin Abdulaziz bin Nasser Al Saud,b. 1977,Saudi Arabian,"Prince, convicted murderer",G[134]
Joseph Alsop,1910–1989,American,Journalist,G[135]
Bela Ewald Althans,b. 1966,German,Neo-Nazi activist,G[136]
Marcella Althaus-Reid,1952–2009,Argentine,Theologian,B[137]
Dennis Altman,b. 1943,Australian,"Academic, LGBT rights activist",G[138]
Joseph Altuzarra,b. 1983,French,Fashion designer,G[139]
Eric Alva,b. 1970,American,First Marine seriously injured in the Iraq War,G[140]
"Luisa Isabel Álvarez de Toledo, 21st Duchess of Medina Sidonia",1936–2008,Spanish,21st Duchess of Medina Sidonia,L[141]
Renee Alway,b. 1986,American,Fashion model,L[142]
John Amaechi,b. 1970,British,"Basketball player, broadcaster",G[143]
Knut Olav Åmås,b. 1968,Norwegian,Politician,G[144]
Dan Amboyer,b. 1985,American,Actor,G[145]
Javier Ambrossi,b. 1984,Spanish,"Actor, stage and theater director",G[146]
Scott Amedure,1963–1995,American,"""Jenny Jones Murder"" victim",G[147]
Gianni Amelio,b. 1945,Italian,Film director,G[148]
Alejandro Amenábar,b. 1972,Chilean-Spanish,Filmmaker,G[149]
David Ames,b. 1983,English,Actor,G[150]
Shadi Amin,b. 1964,Iranian,"Writer, activist, dissident",L[151]
Thomas Ammann,1950–1993,Swiss,Art dealer and collector,G[152]
Tom Ammiano,b. 1941,American,"San Francisco City Supervisor, comedian",G[153]
Simon Emil Ammitzbøll-Bille,b. 1977,Danish,Politician,B[154]
Stephen K. Amos,b. 1967,English,Comedian,G[155]
Simon Amstell,b. 1979,English,"Comedian, TV presenter",G[156]
Elena Anaya,b. 1975,Spanish,Actor,L[157]
Sheldon Andelson,1931–1988,American,Politician,G[158]
Anja Andersen,b. 1969,Danish,Handball player,L[159]
Camilla Andersen,b. 1973,Danish,Handball player,L[160]
Brett Anderson,b. 1967,English,Rock musician (Suede),B[161]
Brian Anderson,b. 1976,American,Skateboarder,G[162]
Eric Anderson,b. 1968,American,Sociologist,G[163]
Gordon Stewart Anderson,1958–1991,Canadian,Writer,G[164]
Jane Anderson,b. 1954,American,"Actor, playwright, director",L[165]
Lindsay Anderson,1923–1994,Scottish,Film director,G[166]
Margaret C. Anderson,1886–1973,American,Magazine editor,L[167]
Ruth Anderson,1928–2019,American,Composer,L[168]
Rhyian Anderson-Morley,b. 1990,Australian,Australian rules footballer,G[169]
Fernando Grostein Andrade,b. 1981,Brazilian,Filmmaker,G[170]
Jéssica Andrade,b. 1991,Brazilian,Mixed martial artist,L[171]
Mário de Andrade,1893–1945,Brazilian,Writer,G[172]
Jack Andraka,b. 1997,American,"Inventor, scientist, cancer researcher",G[173]
Harry Andrews,1911–1989,English,Actor,G[174]
Robert Andrews,1895–1976,English,Actor,G[175]
Stephen Andrews,b. 1956,Canadian,Artist,G[176]
Leopold Andrian,1875−1951,Austrian,"Author, dramatist, diplomat",G[177]
Bohdan Andrusyshyn (aka Danchyk),b. 1958,Belarusian,"Journalist, singer",G[178]
Jerzy Andrzejewski,1909–1983,Polish,Author,G[179]
Abraham Ángel (artist name),1905–1924,Mexican,Painter,G[180]
Michael Angelakos,b. 1987,American,"Musician, singer (Passion Pit)",B[181]
Kenneth Anger,b. 1927,American,"Filmmaker, author",G[182]
Nadine Angerer,b. 1978,German,Football (soccer) player,B[183]
Dallas Angguish,b. 1968,Australian,Writer,G[184]
Patrick Angus,1953–1992,American,Artist,G[185]
Alyson Annan,b. 1973,Australian,Field hockey player,L[186]
Anne-Marie,b. 1991,English,Singer-songwriter,B[187]
Ant,b. 1967,American,"Actor, comedian",B[188]
Concordia Antarova,1886–1959,Russian,Opera singer,L[189]
Katharine Anthony,1877–1965,American,Biographer,L[190]
Trey Anthony,b. 1974,Canadian,"Comedian, playwright",G[191]
Steve Antin,b. 1956,American,"Actor, screenwriter",G[192]
Antinous,110–130 CE,Greek,Beloved of Roman Emperor Hadrian,G[193]
Nickie Antonio,b. 1955,American,Politician,L[194]
Laura Antoniou,b. 1963,American,Author,L[195]
Gloria E. Anzaldúa,1942–2004,American,Writer,L[196]
Luc Appermont,b. 1949,Belgian,TV presenter,G[197]
Kwame Anthony Appiah,b. 1954,Ghanaian,"Philosopher, writer",G[198]
Alistair Appleton,b. 1970,English,TV presenter,G[199]
Bettina Aptheker,b. 1944,American,"Activist, academic",L[200]
Aleksey Apukhtin,1840–1893,Russian,Poet,G[201]
Virginia Apuzzo,b. 1941,American,Gay rights and AIDS activist,L[202]
Francisco Aragón,b. ?[5],American,"Poet, editor, writer",G[203]
Louis Aragon,1897–1982,French,"Poet, novelist",B[204]
Gregg Araki,b. 1959,American,Filmmaker,G[205]
Roberto Arango,b. ?[5],American,Politician,G[206]
Gérard Araud,b. 1953,French,Diplomat,G[207]
John Aravosis,b. 1963,American,LGBT rights activist,G[208]
Arca,b. 1989,Venezuelan,"Electronic record producer, songwriter, mixing engineer, DJ",G[209]
Rose Arce,b. ?[5],American,TV journalist,L[210]
Michael Arceneaux,b. 1984,American,Writer,G[211]
Bert Archer,b. 1968,Canadian,Writer,G[212]
Alfie Arcuri,b. 1988,Australian,Singer-songwriter,G[213]
Michael Arden,b. 1982,American,"Actor, stage director, composer",G[214]
Emile Ardolino,1943–1993,American,"Film director, choreographer, producer",G[215]
Reinaldo Arenas,1943–1990,Cuban,Writer,G[216]
Camilo Arenivar,b. 1967,American,"Musician, minister",G[217]
Pietro Aretino,1492–1556,Italian,"Writer, satirist",G[218]
Joey Arias,b. 1949,American,"Performance artist, drag performer",G[219]
Giorgio Armani,b. 1934,Italian,Fashion designer,B[220]
Joan Armatrading,b. 1950,Kittian-British,Singer-songwrtier,L [221]
Jillian Armenante,b. 1968,American,"Actor, writer",L[222]
Billie Joe Armstrong,b. 1972,American,Rock musician (Green Day),B[223]
François Arnaud,b. 1985,Canadian,Actor,B[224]
Chip Arndt,b. 1966,American,"Reality TV show contestant, LGBT rights activist",G[225]
Judith Arndt,b. 1976,German,Cyclist,L[226]
Alice Arnold,b. 1962,English,"Broadcaster, journalist",L[227]
Mary Ellicott Arnold,1876–1968,American,"Social activist, writer",L[228]
Polly Arnold,b. ?[5],American,Chemistry professor,L[229]
Rob Arnold,b. 1982,New Zealand,Pop musician,G[230]
Jake Arnott,b. 1961,English,Author,G[231]
Siri Hall Arnøy,b. 1978,Norwegian,Politician,L[232]
Jean-Paul Aron,1925–1988,French,Writer,G[233]
Willem Arondeus,1894–1943,Dutch,"Painter, author, WWII Resistance member",G[234]
Manish Arora,b. 1972,Indian,Fashion designer,G[235]
John S. Arrowood,b. 1956,American,Judge,G[236]
Pat Arrowsmith,b. 1930,English,"Writer, peace activist",L[237]
Jennifer Arroyo,b. 1975,American,Musician,L[238]
Rane Arroyo,1954–2010,American,"Poet, playwright, and scholar",G[239]
Gavin Arthur,1901–1972,American,"Astrologer, sexologist",B[240]
Robert Arthur,1925–2008,American,Actor,G[241]
Newton Arvin,1900–1963,American,"Writer, academic",G[242]
Dorothy Arzner,1897–1979,American,Film director,L[243]
Charles Robert Ashbee,1863–1942,English,"Architect, designer",G[244]
John Ashbery,1927–2017,American,Poet,G[245]
Roy Ashburn,b. 1954,American,Politician,G[246]
Henrik Asheim,b. 1983,Norwegian,Politician,G[247]
Oreet Ashery,b. 1966,Israeli-British,Interdisciplinary artist,L[248]
Howard Ashman,1950–1991,American,Lyricist,G[249]
Frederick Ashton,1904–1988,British,Choreographer,G[250]
Mark Ashton,1960–1987,English,"Gay rights activist, co-founder of Lesbians and Gays Support the Miners",G[251]
Othniel Askew,1972–2003,American,"Politician, murderer",G[252]
Raoul Aslan,1886–1958,Austrian,Actor,G[253]
Anthony Asquith,1902–1968,English,Film director,G[254]
Apurva Asrani,b. 1978,Indian,Filmmaker,G[255]
Charles Coypeau d'Assoucy,1605–1677,French,"Musician, burlesque poet",G[256]
Rob Astbury,b. 1948,Australian,"Journalist, TV presenter",G[257]
Nils Asther,1897–1981,Swedish,Stage and silent film actor,G[258]
Sverker Åström,1915–2012,Swedish,Diplomat,G[259]
Karen Atala,b. 1964,Chilean,"Lawyer, fighting for custody of her children",L[260]
Kutluğ Ataman,b. 1961,Turkish,Filmmaker,G[261]
John Atherton,1598–1640,English,Anglican bishop executed for buggery,G[262]
Ron Athey,b. 1961,American,Artist,G[263]
Toni Atkins,b. 1962,American,Politician,L[264]
Ti-Grace Atkinson,b. 1938,American,Feminist author,L[265]
Jake Atlas,b. 1994,American,Professional wrestler,G[266]
Efva Attling,b. 1952,Swedish,"Jewelry designer, singer, model, dancer",L[267]
Amelia Atwater-Rhodes,b. 1984,American,Writer,L[268]
Clare Atwood,1866–1962,English,Painter,L[269]
Alex Au,b. 1952,Singaporean,"LGBT rights activist, writer",G[270]
Kevyn Aucoin,1962–2002,American,Make-up artist,G[271]
W. H. Auden,1907–1973,English,Poet,G[272]
François Augiéras,1925–1971,French,Writer,G[273]
John August,b. 1970,American,Screenwriter,G[274]
Seimone Augustus,b. 1984,American,Basketball player,L[275]
Michael Ausiello,b. 1972,American,TV journalist,G[276]
Alice Austen,1866–1952,American,Photographer,L[277]
Edward Avedisian,1936–2007,American,Painter,G[278]
Irma Avegno,1881–1913,Uruguayan,Businesswoman,L[279]
Joe Average,b. 1957,Canadian,Artist,G[280]
Kevin Aviance,b. 1968,American,Entertainer,G[281]
Erick Martínez Ávila,1980–2012,Honduran,"LGBT advocate, spokesperson",G[282]
Arthur Aviles,b. 1963,American,"Dancer, choreographer",G[283]
Andrey Avinoff,1884–1949,Russian,"Entomologist, lepidopterist, botanist, artist, art critic",G[284]
Yossi Avni-Levy,b. 1962,Israeli,"Writer, diplomat",G[285]
Axel and Eigil Axgil,1915–20111922–1995,Danish,First gay couple in the world joined in a civil union,G[286]
Tony Ayres,b. 1961,Australian,"Film director, screenwriter",G[287]
Omar Ayuso,b. 1998,Spanish,Actor,G[288]
Assi Azar,b. 1979,Israeli,TV personality,G[289]
Predrag Azdejković,b. 1978,Serbian,"Film producer, journalist, LGBT rights activist",G[290]
Azis,b. 1978,Romani-Bulgarian,Chalga singer,G[291]
Jennifer Azzi,b. 1968,American,Basketball player,L[292]
Mel B,b. 1975,English,"Pop singer (Spice Girls), actor, TV personality",B[7]
Jamie Babbit,b. 1970,American,Film and TV director,L[8]
Paul Babeu,b. 1969,American,Politician,G[9]
Babur,1483–1530,Indian/Mughal,Emperor and founder of the Mughal Empire in the Indian subcontinent,B[10]
Babydaddy,b. 1976,American,Rock musician (Scissor Sisters),G[11]
Judy Baca,b. 1946,American,"Chicana artist, activist",L[12]
Peter Bacanovic,b. 1962,American,"Stockbroker, defendant in ImClone trial",G[13]
Dirk Bach,1961–2012,German,"Comedian, actor, TV personality",G[14]
Don Bachardy,b. 1934,American,Artist,G[15]
Ramona Bachmann,b. 1990,Swiss,Footballer,L[16]
"Sir Edmund Backhouse, 2nd Baronet",1873-1944,English,"Scholar, Sinologist, linguist",G[17]
Francis Bacon,1909–1992,English,Artist,G[18]
Sir Francis Bacon,1561–1626,English,"Philosopher, statesman, scientist, jurist, orator, author",G[19][20][21]
Babi Badalov,b. 1959,Azerbaijani,"Visual artist, poet",G[22]
Marina Rice Bader,b. ?,American,"Writer, director, film producer",L[23]
Ruth Badger,b. 1978,English,"Reality show contestant, TV presenter, business consultant",L[24]
Dan Baer,b. 1977,American,"Politician, diplomat",G[25]
Neal Baer,b. 1955,American,"Pediatrician, TV writer, producer",G[26]
Susanne Baer,b. 1964,German,1st openly lesbian elected as a Justice of the Federal Constitutional Court of Germany,L[27]
Joan Baez,b. 1941,American,Folk musician,B[28]
Tim Bagley,b. 1957,American,Actor,G[29]
Nakshatra Bagwe,b. 1990,Indian,"Actor, filmmaker",G[30]
Bai Ling,b. 1966,Chinese-American,Actor,B[31]
Paul Bailey,b. 1937,English,Writer,G[32]
Sheryl Bailey,b. 1966,American,Jazz musician,L[33]
Simon Bailey,1955–1995,English,Anglican priest,G[34]
Diora Baird,b. 1983,American,"Actor, model",L[35]
Jon Robin Baitz,b. 1961,American,"Playwright, TV producer",G[36]
Christin Baker,b. ?,American,LGBT rights activist,L[37]
Gilbert Baker,1951–2017,American,"Artist, gay rights activist, designer of the rainbow flag (1978)",G[38]
Jack Baker,b. 1942,American,"Attorney, LGBT rights activist",G[39]
James Robert Baker,1946–1997,American,Author,G[40]
Josephine Baker,1906–1975,American,Entertainer,B[41]
John Roman Baker,b. 1944,English,Playwright,G[42]
Marina Baker,b. 1967,English,"Writer, politician",B[43]
Sara Josephine Baker,1873–1945,American,"Physician, public health pioneer",L[44]
Christine Bakke,b. 1971,American,LGBT rights activist,L[45]
Rohit Bal,b. 1961,Indian,Fashion designer,G[46]
John Balance,1962–2004,English,Rock and experimental musician (Coil),G[47]
Kuwasi Balagoon,1946–1986,American,"Black Panther, writer",B[48]
Joe Balass,b. ?[5],Iraqi-Canadian,Filmmaker,G[49]
Clare Balding,b. 1971,English,BBC sports journalist,L[50]
Long John Baldry,1941–2005,English,Blues-rock musician,G[51]
Lorenzo Balducci,b. 1982,Italian,Actor,G[52]
Ireland Baldwin,b. 1995,American,Model,B[53]
James Baldwin,1924–1987,American,Writer,G[54]
"Oliver Baldwin, 2nd Earl Baldwin of Bewdley",1899–1958,English,Politician,G[55]
Tammy Baldwin,b. 1962,American,"Politician, first openly gay U.S. Senator in history.",L[56]
Cristóbal Balenciaga,1885–1972,Spanish,Fashion designer,G[57]
Alan Ball,b. 1957,American,Screenwriter,G[58]
Jason Ball,b. 1988,Australian,"Mental health advocate, former political candidate, and 1st openly gay Australian rules football player",G[59]
Tom Ballard,b. 1989,Australian,Radio presenter and comedian,G[60]
Paolo Ballesteros,b. 1982,Filipino,"Actor, comedian, TV host, model",G[61]
Amy Balliett,b. 1982,American,LGBT rights activist,L[62]
Brian Balthazar,b. ?[5],American,TV personality,G[63]
Bruno Balz,1902–1988,German,Songwriter,G[64]
Orna Banai,b. 1966,Israeli,"Actor, comedian, entertainer, politician",L[65]
Canaan Banana,1936–2003,Zimbabwean,1st President of Zimbabwe; jailed for homosexuality,G[66]
Ann Bancroft,b. 1955,American,First woman to reach the North Pole,L[67]
Herman Bang,1857–1912,Danish,Writer,G[68]
Tallulah Bankhead,1902–1968,American,Actor,B[69]
Azealia Banks,b. 1991,American,Musician,B[70]
Briana Banks,b. 1978,American,Pornographic actor,B[71]
Christopher Banks,b. 1977,New Zealand,"Music producer, journalist",G[72]
Cassandra Bankson,b. 1992,American,"Model, internet personality",L[73]
Kaushalya Bannerji,b. ?,Canadian,Poet,L[74]
Ann Bannon,b. 1932,American,Author,L[75]
Patricia Barber,b. 1956,American,Jazz musician,L[76]
Samuel Barber,1910–1981,American,Classical music composer,G[77]
Shawnacy Barber,b. 1994,Canadian-American,Track and Field Athlete,G[78][79]
Jillian Barberie,b. 1966,American,TV host,B[80]
Jesuíta Barbosa,b. 1991,Brazilian,Actor,B[81]
Paris Barclay,b. 1956,American,TV director,G[82]
Alexander Bard,b. 1961,Swedish,Pop musician,B[83]
Jean-Pierre Barda,b. 1967,French-Swedish,"Musician, actor",B[84]
Eduard Bargheer,1901–1979,German,"Painter, printmaker",G[85]
Clive Barker,b. 1952,English,"Author, film director",G[86]
"Greg Barker, Baron Barker of Battle",b. 1966,English,Politician,G[87]
R. H. Barlow,1918–1951,American,"Writer, anthropologist",G[88]
Djuna Barnes,1892–1982,American,Writer,B[89]
Fred Barnes,1885–1938,English,Entertainer,G[90]
Hazel Barnes,1915–2008,American,Philosopher,L[91]
Micah Barnes,b. 1960,Canadian,Pop musician,G[92]
Rev. Paul Barnes,b. 1954,American,Clergy,G[93]
Richard Barnes,b. 1947,English,Politician,G[94]
Charlie Barnett,b. 1988,American,Actor,G[95]
James Barnett,b. 1986,American,Activist,G[96]
Jim Barnett,1924–2004,American,Professional wrestling promoter,G[97]
Lisa A. Barnett,1958–2006,American,Science fiction and fantasy writer,L[98]
Samuel Barnett,b. 1986,English,Actor,G[99]
Tim Barnett,b. 1958,New Zealand,Member of the Parliament of New Zealand,G[100]
Natalie Clifford Barney,1876–1972,American,Writer,L[101]
Frank A. Barnhart,b. ?,American,"Actor, producer, director",G[102]
Bill Baroni,b. 1971,American,"Politician, law professor",G[103]
Andrew Barr,b. 1973,Australian,Politician,G[104]
Damian Barr,b. 1976,Scottish,"Writer, columnist, playwright",G[105]
Jean Barraqué,1928–1973,French,Classical music composer,G[106]
Katherine Barrell,b. ?,Canadian,Actor,B[107]
Amanda Barrett,b. c. 1979,American,Pop musician (The Ditty Bops),L[108]
Amanda Barrie,b. 1935,English,Actor,B[109]
Josh Barro,b. 1984,American,Journalist,G[110]
John Barrowman,b. 1967,Scottish-American,Actor,G[111]
Drew Barrymore,b. 1975,American,Actor,B[112]
Michael Barrymore,b. 1952,English,Entertainer,G[113]
Richmond Barthé,1901–1989,American,Sculptor,G[114]
Paul Bartel,1938–2000,American,"Actor, writer, director",G[115]
Roland Barthes,1915–1980,French,Literary theorist,G[116]
Chris Bartlett,b. 1966,American,Activist,G[117]
Murray Bartlett,b. 1971,Australian,Actor,G[118]
Neil Bartlett,b. 1958,English,Playwright,G[119]
Jason Bartlett,b. ?,American,Politician,G[120]
Jamie Barton,b. 1981,American,Opera singer (mezzo-soprano),B[121]
